code,market,type,name,shares,cost_price,current_price,cost_value,current_value,gain_loss_pct,position_pct,category,status
CASH,CNY,A,活期存款,1,1.00,1.00,421023,421023,0.00%,9.77%,A档现金,已补充
ZGYQ,CNY,A,中银国有企业债债卷C,1,1.00,1.00,146000,146000,0.00%,3.39%,A档债券,已补充
513010,A,B,港股科技 ETF,17300,0.649,0.649,11228,11228,0.00%,0.26%,B档ETF,已建仓
563360,A,B,中证A500 ETF,21700,1.383,1.383,30011,30011,0.00%,0.70%,B档ETF,已建仓
515180,A,B,中证红利 ETF,0,0.00,0.00,0,0,0.00%,0.00%,B档ETF,低配
159915,A,B,创业板 ETF,0,0.00,0.00,0,0,0.00%,0.00%,B档ETF,低配
159941,A,B,纳指100 ETF,66500,1.38,1.38,91770,91770,0.00%,2.13%,B档ETF,出清中
002594,A,C,比亚迪,800,111.57,93.75,89256,75000,-15.97%,1.74%,C档个股,持有
02015,HK,C,理想汽车-W,2400,69.03,61.80,165672,148320,-10.47%,3.44%,C档个股,待清仓
601012,A,C,隆基绿能,3600,19.12,15.04,68832,54144,-21.34%,1.26%,C档个股,待清仓
000568,A,C,泸州老窖,300,107.85,90.02,32355,27006,-16.53%,0.63%,C档个股,持有
601318,A,C,中国平安,400,65.29,53.68,26116,21472,-17.78%,0.50%,C档个股,持有
001280,A,C,中国铀业,200,95.12,75.95,19024,15190,-20.15%,0.35%,C档个股,待清仓
600219,A,C,南山铝业,46500,6.71,5.50,312015,255750,-18.03%,5.94%,C档个股,减仓中
03690,HK,D,美团RSU,37000,0.00,81.35,0,3009950,0.00%,69.87%,D档其他,员工激励
